period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2025,90,Pacific,1,Electric Utility,NUC,nuclear,25306.508,thousand megawatthours
2025,90,Pacific,90,Electric Power Sector Non-CHP,NUC,nuclear,25306.508,thousand megawatthours
2025,90,Pacific,98,Electric Power,NUC,nuclear,25306.508,thousand megawatthours
2025,90,Pacific,99,All Sectors,NUC,nuclear,25306.508,thousand megawatthours
2025,AL,Alabama,1,Electric Utility,NUC,nuclear,42672.668,thousand megawatthours
2025,AL,Alabama,90,Electric Power Sector Non-CHP,NUC,nuclear,42672.668,thousand megawatthours
2025,AL,Alabama,98,Electric Power,NUC,nuclear,42672.668,thousand megawatthours
2025,AL,Alabama,99,All Sectors,NUC,nuclear,42672.668,thousand megawatthours
2025,AR,Arkansas,1,Electric Utility,NUC,nuclear,15193.05,thousand megawatthours
2025,AR,Arkansas,90,Electric Power Sector Non-CHP,NUC,nuclear,15193.05,thousand megawatthours
2025,AR,Arkansas,98,Electric Power,NUC,nuclear,15193.05,thousand megawatthours
2025,AR,Arkansas,99,All Sectors,NUC,nuclear,15193.05,thousand megawatthours
2025,AZ,Arizona,1,Electric Utility,NUC,nuclear,31321.808,thousand megawatthours
2025,AZ,Arizona,90,Electric Power Sector Non-CHP,NUC,nuclear,31321.808,thousand megawatthours
2025,AZ,Arizona,98,Electric Power,NUC,nuclear,31321.808,thousand megawatthours
2025,AZ,Arizona,99,All Sectors,NUC,nuclear,31321.808,thousand megawatthours
2025,CA,California,1,Electric Utility,NUC,nuclear,17558.394,thousand megawatthours
2025,CA,California,90,Electric Power Sector Non-CHP,NUC,nuclear,17558.394,thousand megawatthours
2025,CA,California,98,Electric Power,NUC,nuclear,17558.394,thousand megawatthours
2025,CA,California,99,All Sectors,NUC,nuclear,17558.394,thousand megawatthours
2025,CT,Connecticut,2,IPP Non-CHP,NUC,nuclear,16708.717,thousand megawatthours
2025,CT,Connecticut,90,Electric Power Sector Non-CHP,NUC,nuclear,16708.717,thousand megawatthours
2025,CT,Connecticut,94,Independent Power Producers,NUC,nuclear,16708.717,thousand megawatthours
2025,CT,Connecticut,98,Electric Power,NUC,nuclear,16708.717,thousand megawatthours
2025,CT,Connecticut,99,All Sectors,NUC,nuclear,16708.717,thousand megawatthours
2025,ENC,East North Central,1,Electric Utility,NUC,nuclear,27533.963,thousand megawatthours
2025,ENC,East North Central,2,IPP Non-CHP,NUC,nuclear,124987.649,thousand megawatthours
2025,ENC,East North Central,90,Electric Power Sector Non-CHP,NUC,nuclear,152521.612,thousand megawatthours
2025,ENC,East North Central,94,Independent Power Producers,NUC,nuclear,124987.649,thousand megawatthours
2025,ENC,East North Central,98,Electric Power,NUC,nuclear,152521.612,thousand megawatthours
2025,ENC,East North Central,99,All Sectors,NUC,nuclear,152521.612,thousand megawatthours
2025,ESC,East South Central,1,Electric Utility,NUC,nuclear,83498.594,thousand megawatthours
2025,ESC,East South Central,90,Electric Power Sector Non-CHP,NUC,nuclear,83498.594,thousand megawatthours
2025,ESC,East South Central,98,Electric Power,NUC,nuclear,83498.594,thousand megawatthours
2025,ESC,East South Central,99,All Sectors,NUC,nuclear,83498.594,thousand megawatthours
2025,FL,Florida,1,Electric Utility,NUC,nuclear,30587.612,thousand megawatthours
2025,FL,Florida,90,Electric Power Sector Non-CHP,NUC,nuclear,30587.612,thousand megawatthours
2025,FL,Florida,98,Electric Power,NUC,nuclear,30587.612,thousand megawatthours
2025,FL,Florida,99,All Sectors,NUC,nuclear,30587.612,thousand megawatthours
2025,GA,Georgia,1,Electric Utility,NUC,nuclear,51224.793,thousand megawatthours
2025,GA,Georgia,90,Electric Power Sector Non-CHP,NUC,nuclear,51224.793,thousand megawatthours
2025,GA,Georgia,98,Electric Power,NUC,nuclear,51224.793,thousand megawatthours
2025,GA,Georgia,99,All Sectors,NUC,nuclear,51224.793,thousand megawatthours
2025,IL,Illinois,2,IPP Non-CHP,NUC,nuclear,97670.262,thousand megawatthours
2025,IL,Illinois,90,Electric Power Sector Non-CHP,NUC,nuclear,97670.262,thousand megawatthours
2025,IL,Illinois,94,Independent Power Producers,NUC,nuclear,97670.262,thousand megawatthours
2025,IL,Illinois,98,Electric Power,NUC,nuclear,97670.262,thousand megawatthours
2025,IL,Illinois,99,All Sectors,NUC,nuclear,97670.262,thousand megawatthours
2025,KS,Kansas,1,Electric Utility,NUC,nuclear,9269.04,thousand megawatthours
2025,KS,Kansas,90,Electric Power Sector Non-CHP,NUC,nuclear,9269.04,thousand megawatthours
2025,KS,Kansas,98,Electric Power,NUC,nuclear,9269.04,thousand megawatthours
2025,KS,Kansas,99,All Sectors,NUC,nuclear,9269.04,thousand megawatthours
2025,LA,Louisiana,1,Electric Utility,NUC,nuclear,15254.572,thousand megawatthours
2025,LA,Louisiana,90,Electric Power Sector Non-CHP,NUC,nuclear,15254.572,thousand megawatthours
2025,LA,Louisiana,98,Electric Power,NUC,nuclear,15254.572,thousand megawatthours
2025,LA,Louisiana,99,All Sectors,NUC,nuclear,15254.572,thousand megawatthours
2025,MAT,Middle Atlantic,2,IPP Non-CHP,NUC,nuclear,131374.508,thousand megawatthours
2025,MAT,Middle Atlantic,90,Electric Power Sector Non-CHP,NUC,nuclear,131374.508,thousand megawatthours
2025,MAT,Middle Atlantic,94,Independent Power Producers,NUC,nuclear,131374.508,thousand megawatthours
2025,MAT,Middle Atlantic,98,Electric Power,NUC,nuclear,131374.508,thousand megawatthours
2025,MAT,Middle Atlantic,99,All Sectors,NUC,nuclear,131374.508,thousand megawatthours
2025,MD,Maryland,2,IPP Non-CHP,NUC,nuclear,14795.15,thousand megawatthours
2025,MD,Maryland,90,Electric Power Sector Non-CHP,NUC,nuclear,14795.15,thousand megawatthours
2025,MD,Maryland,94,Independent Power Producers,NUC,nuclear,14795.15,thousand megawatthours
2025,MD,Maryland,98,Electric Power,NUC,nuclear,14795.15,thousand megawatthours
2025,MD,Maryland,99,All Sectors,NUC,nuclear,14795.15,thousand megawatthours
2025,MI,Michigan,1,Electric Utility,NUC,nuclear,27533.963,thousand megawatthours
2025,MI,Michigan,2,IPP Non-CHP,NUC,nuclear,0,thousand megawatthours
2025,MI,Michigan,90,Electric Power Sector Non-CHP,NUC,nuclear,27533.963,thousand megawatthours
